City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kadiri,IN,2021-05-31 14:58:21,14.1167,78.1667,87.21,50,51,13.06
1,Rikitea,PF,2021-05-31 14:58:21,-23.1203,-134.9692,74.08,66,0,13.47
2,Necochea,AR,2021-05-31 14:58:22,-38.5473,-58.7368,57.04,63,57,21.65
3,Georgetown,MY,2021-05-31 14:58:22,5.4112,100.3354,86.9,76,20,1.01
4,Bluff,NZ,2021-05-31 14:58:22,-46.6,168.3333,49.8,66,93,6.04
5,Dikson,RU,2021-05-31 14:58:23,73.5069,80.5464,31.06,97,100,16.84
6,Ushuaia,AR,2021-05-31 14:57:02,-54.8,-68.3,29.86,86,75,6.91
7,Pitimbu,BR,2021-05-31 14:58:23,-7.4706,-34.8086,77.59,78,41,13.0
8,Albany,US,2021-05-31 14:55:07,42.6001,-73.9662,54.91,80,99,6.82
9,Wronki,PL,2021-05-31 14:58:24,52.7105,16.3804,68.54,41,44,5.3
10,Hermanus,ZA,2021-05-31 14:54:10,-34.4187,19.2345,58.89,76,53,10.04
11,Shimoda,JP,2021-05-31 14:58:24,34.6667,138.95,68.16,82,13,3.15
12,Puerto Carreno,CO,2021-05-31 14:58:25,6.189,-67.4859,79.57,75,100,5.57
13,San Cristobal,VE,2021-05-31 14:58:25,7.7669,-72.225,78.98,63,97,6.13
14,Kaeo,NZ,2021-05-31 14:58:26,-35.1,173.7833,52.32,95,16,5.95
15,Naryan-Mar,RU,2021-05-31 14:58:26,67.6713,53.087,42.44,85,100,17.05
16,Dubbo,AU,2021-05-31 14:58:26,-32.25,148.6167,39.33,93,95,8.05
17,Kabinda,CD,2021-05-31 14:58:27,-6.1333,24.4833,86.05,29,46,4.45
18,Hamilton,US,2021-05-31 14:53:40,39.1834,-84.5333,67.21,65,98,1.01
19,East London,ZA,2021-05-31 14:58:27,-33.0153,27.9116,67.14,59,0,5.75
20,Katsuura,JP,2021-05-31 14:58:27,35.1333,140.3,67.19,80,46,6.96
21,Srednekolymsk,RU,2021-05-31 14:58:28,67.45,153.6833,53.82,43,5,10.49
22,Ribeira Grande,PT,2021-05-31 14:58:28,38.5167,-28.7,66.6,88,75,8.05
23,Lagoa,PT,2021-05-31 14:58:29,39.05,-27.9833,61.21,85,100,19.69
24,Husavik,IS,2021-05-31 14:58:29,66.0449,-17.3389,57.11,44,46,16.62
25,Caronport,CA,2021-05-31 14:58:29,50.4501,-105.8179,66.69,28,53,17.16
26,Punta Arenas,CL,2021-05-31 14:58:25,-53.15,-70.9167,30.22,86,0,3.56
27,Busselton,AU,2021-05-31 14:58:30,-33.65,115.3333,51.08,85,100,6.46
28,Ndele,CF,2021-05-31 14:58:30,8.4109,20.6473,93.69,31,98,6.51
29,Lompoc,US,2021-05-31 14:58:31,34.6391,-120.4579,58.08,100,90,3.62
30,Norman Wells,CA,2021-05-31 14:58:31,65.282,-126.8329,48.24,76,75,2.3
31,Saint-Philippe,RE,2021-05-31 14:58:31,-21.3585,55.7679,72.99,82,21,6.4
32,Hofn,IS,2021-05-31 14:58:32,64.2539,-15.2082,51.82,76,75,14.97
33,Flic En Flac,MU,2021-05-31 14:58:32,-20.2742,57.3631,75.76,72,4,8.34
34,Jamestown,US,2021-05-31 14:58:33,42.097,-79.2353,63.3,46,58,3.0
35,Andenes,NO,2021-05-31 14:58:33,69.3143,16.1194,54.07,87,75,14.97
36,Varhaug,NO,2021-05-31 14:58:33,58.6147,5.6457,66.85,68,7,14.74
37,Alofi,NU,2021-05-31 14:58:34,-19.0595,-169.9187,73.29,94,56,3.44
38,Bereda,ES,2021-05-31 14:58:34,43.2686,-7.5406,85.14,42,0,4.29
39,Tuktoyaktuk,CA,2021-05-31 14:58:34,69.4541,-133.0374,30.2,86,90,14.97
40,Mataura,NZ,2021-05-31 14:56:28,-46.1927,168.8643,49.48,96,100,2.1
41,Atar,MR,2021-05-31 14:58:35,20.5169,-13.0499,107.71,13,9,4.29
42,Rawson,AR,2021-05-31 14:58:35,-43.3002,-65.1023,46.71,69,100,11.54
43,Zaysan,KZ,2021-05-31 14:58:36,47.4667,84.8667,67.73,29,4,9.08
44,Nantucket,US,2021-05-31 14:58:36,41.2835,-70.0995,57.15,98,100,11.83
45,Chicama,PE,2021-05-31 14:58:37,-7.8447,-79.1469,64.94,77,100,6.78
46,Natal,BR,2021-05-31 14:54:32,-5.795,-35.2094,83.05,69,75,12.39
47,Sioux Lookout,CA,2021-05-31 14:58:37,50.1001,-91.917,57.27,77,20,4.61
48,Maningrida,AU,2021-05-31 14:58:37,-12.0667,134.2667,73.4,86,36,9.22
49,Sao Filipe,CV,2021-05-31 14:58:38,14.8961,-24.4956,74.46,76,9,14.76
50,Bengkulu,ID,2021-05-31 14:58:38,-3.8004,102.2655,78.48,87,100,2.42
51,Demba,CD,2021-05-31 14:58:39,-5.51,22.2667,90.16,19,61,3.91
52,New Norfolk,AU,2021-05-31 14:58:39,-42.7826,147.0587,44.58,83,100,1.01
53,Mount Gambier,AU,2021-05-31 14:58:39,-37.8333,140.7667,49.91,50,100,16.11
54,Beloha,MG,2021-05-31 14:58:40,-25.1667,45.05,67.33,70,90,11.79
55,Valdivia,CL,2021-05-31 14:54:00,-39.8142,-73.2459,59.09,98,100,8.3
56,Meulaboh,ID,2021-05-31 14:58:40,4.1363,96.1285,78.24,84,95,1.86
57,Kaiyuan,CN,2021-05-31 14:58:40,23.6977,103.3037,71.15,79,54,5.82
58,Vaini,TO,2021-05-31 14:58:41,-21.2,-175.2,73.56,88,90,10.36
59,Camargo,MX,2021-05-31 14:58:41,27.6667,-105.1667,79.95,26,8,7.61
60,Kapaa,US,2021-05-31 14:58:42,22.0752,-159.319,71.58,76,74,4.41
61,Whitecourt,CA,2021-05-31 14:58:42,54.1502,-115.6855,58.24,58,90,5.75
62,Thinadhoo,MV,2021-05-31 14:57:38,0.5333,72.9333,84.4,71,95,18.03
63,Atencingo,MX,2021-05-31 14:58:43,18.5167,-98.6,79.63,56,100,0.98
64,Wagar,SD,2021-05-31 14:58:43,16.1525,36.2032,110.08,7,1,10.33
65,Kodiak,US,2021-05-31 14:58:44,57.79,-152.4072,45.91,87,90,14.97
66,Alyangula,AU,2021-05-31 14:58:44,-13.8483,136.4192,71.47,100,90,10.74
67,Thompson,CA,2021-05-31 14:58:44,55.7435,-97.8558,55.56,62,75,3.44
68,Zapolyarnyy,RU,2021-05-31 14:58:45,69.4154,30.8136,47.48,61,94,26.33
69,Bonnyville,CA,2021-05-31 14:58:45,54.2668,-110.735,60.6,93,100,6.22
70,Antalaha,MG,2021-05-31 14:58:45,-14.9003,50.2788,75.04,77,1,6.91
71,Nador,MA,2021-05-31 14:58:46,35.174,-2.9287,73.47,94,75,8.75
72,Cabo San Lucas,MX,2021-05-31 14:53:50,22.8909,-109.9124,83.8,56,46,4.03
73,Saint-Cyr-Sur-Loire,FR,2021-05-31 14:58:46,47.4,0.6667,76.05,45,0,8.05
74,Aykhal,RU,2021-05-31 14:58:46,66.0,111.5,53.38,43,64,12.95
75,Nha Trang,VN,2021-05-31 14:56:53,12.25,109.1833,86.0,78,26,3.67
76,Portland,US,2021-05-31 14:55:05,45.5234,-122.6762,66.58,66,55,3.0
77,Hobart,AU,2021-05-31 14:58:47,-42.8794,147.3294,44.92,83,100,3.0
78,Boende,CD,2021-05-31 14:58:47,-0.2167,20.8667,91.67,45,88,3.13
79,Airai,TL,2021-05-31 14:58:48,-8.9266,125.4092,59.61,96,95,1.97
80,Plymouth,US,2021-05-31 14:58:48,41.8334,-70.8328,55.22,95,90,6.96
81,Clyde River,CA,2021-05-31 14:58:49,70.4692,-68.5914,25.03,100,1,4.61
82,Cape Town,ZA,2021-05-31 14:58:34,-33.9258,18.4232,62.1,81,75,1.99
83,Port Elizabeth,ZA,2021-05-31 14:58:49,-33.918,25.5701,63.1,77,20,20.71
84,Ranong,TH,2021-05-31 14:58:49,9.9658,98.6348,80.91,85,62,7.45
85,Hithadhoo,MV,2021-05-31 14:58:50,-0.6,73.0833,84.07,70,82,16.64
